23195,17315,22104,41861,31728,34276,24161,14531,16814,18529
41529,29243,40212,82794,53410,54441,38499,20799,28901,33910
17660,15773,21264,35267,26730,33043,19562,11637,14769,13249
56304,34966,55429,96473,70662,73070,55713,29878,44671,43680
4575,5613,4510,10113,5728,5231,3857,2885,3901,3000
4820,3122,4527,8462,6014,6146,4716,3772,3939,3950
4040,3452,3878,6202,5241,12192,4591,3194,3597,3026
5803,2345,3826,7969,5346,9829,4532,2751,4176,2767
5376,2659,3809,7470,5953,8719,6041,2938,4698,1687
74588,172453,121364,187639,107317,86584,50721,53799,66385,154954
69762,91308,59300,94685,72732,61981,47082,38667,66870,61283
66236,118104,68642,92858,53121,62211,39415,25960,62433,41756
190886,243448,434817,822475,542049,639695,368464,158557,198551,181962
22387,13513,23126,31538,26378,28764,23497,12388,21639,18454
39469,34911,55127,83004,59929,67975,46249,22997,38466,29077
127733,157424,254066,380401,265676,323248,216837,93430,115461,133328
405039,358276,642078,981885,878518,879292,620032,281049,432783,458588
91531,181464,191939,315004,223965,217917,149204,90769,123601,161890
67553,79805,72127,103295,61361,64525,47231,33926,51270,43267
15219,8347,13321,21028,15353,16534,12742,6759,12559,8972
6904,4049,3143,7450,5140,7518,3188,3040,7819,1267
3778,5438,6922,8873,6182,4541,2689,2257,5426,3307
4927,3266,4568,8515,6205,5694,5097,3094,4415,3632
5085,3016,4562,6936,6055,6699,4895,2974,5283,3959
5344,2947,3648,6983,5943,7210,3954,3256,7701,2343
7880,2663,3268,7357,4853,7643,3602,2819,8072,1256
4645,2246,3572,6562,4814,5614,3326,2196,14538,1900
7949,2159,2969,7491,5520,7485,4156,3448,7592,917
5904,1854,2208,5786,3529,4712,2318,1771,20016,1315
5648,2171,4144,7159,6254,7160,5179,3460,6681,1738
6687,2846,4581,6721,6008,6605,4346,2633,7209,1864
5606,2771,4723,8088,6415,7224,4388,2756,5397,2184
5718,3395,5472,7634,5840,6449,3841,3188,5574,2499
6435,2748,3611,7146,5316,7789,3752,2917,8138,1792
6838,2023,3609,6150,5561,6699,4688,3537,8719,1511
6563,5267,3531,6923,5780,7077,4161,2924,6114,1250
5686,2870,3079,8388,5411,11150,4076,2476,4099,2178
7523,4339,3846,8737,4897,5681,3543,2609,5912,2326
6571,2948,3947,8368,5423,7947,3757,2569,5840,2043
6685,2337,3209,5923,5202,10034,4604,2804,7260,1355
3976,3350,13633,5922,4604,5875,3682,2099,3183,3089
4779,2797,5138,8295,6325,7120,4951,2483,4635,3071
5959,4128,3416,7943,5250,6626,3995,3423,5750,2923
5881,2715,4656,7948,5531,6545,4711,2461,5656,3380
4738,3005,4720,7757,5893,7038,5403,2740,5119,3199
5341,2973,3839,7709,6051,9157,4526,2607,4964,2393
4218,3507,2701,6454,4874,5161,3478,2666,13095,3363
4267,2710,3891,8627,7012,9116,4842,2771,3942,2186
4378,3439,4619,9873,6342,7561,3555,2407,4582,2453
5512,2814,5044,7544,6084,6508,4620,2560,5482,3176
4343,2987,5239,7289,5945,7705,5455,2579,4564,3238
5657,2754,5977,6742,5879,6352,4333,2844,5912,3236
4996,3548,4197,8951,6354,7418,4148,2446,5206,2326
5108,3010,5289,7527,5718,6324,4754,2637,5484,3499
4775,2900,4936,7273,6035,8179,5186,2587,4583,2959
4656,3324,4891,8676,6111,6844,4069,2673,5277,2814
5208,3113,4667,8727,5524,7495,4379,2707,5178,2304
4552,3643,4604,9539,6073,7626,3900,2225,5395,1971
3920,3582,4406,8822,6336,8417,4574,2740,3937,2766
3897,3561,6535,8574,6379,6147,4079,2417,4114,3641
3738,9058,5005,6502,5177,4462,3655,2490,4540,4717
4164,2693,5594,7307,6716,6796,5359,2450,4235,4186
3933,2630,5356,7083,6299,7518,5594,2443,4229,4328
3688,2742,6222,7578,6743,6947,5304,2418,4130,3808
3510,4179,6005,9560,6203,5759,3938,2084,4339,4003
5095,3097,5322,8164,5671,6677,4754,2436,4961,3255
4585,3003,5079,6648,6086,7612,5159,2303,4335,4492
4970,2613,5265,8324,6460,6312,4905,2257,4578,3618
4436,2422,4888,6703,5959,9205,5331,2347,4336,3721
4773,2000,4047,10401,6155,8933,4238,3014,3176,2781
4255,3021,4732,7480,6431,7041,5636,2703,4114,3931
3524,3357,6882,9045,6334,6794,4272,1980,4286,2939
6042,2572,4564,7247,5788,6326,5516,2920,4963,3663
4708,2403,5313,7044,6199,8220,4888,2271,4754,3544
4529,2901,5096,7241,6353,7081,5618,2665,4128,3732
4392,3177,6024,9988,5656,5617,4345,2023,5053,3411
3946,2741,6023,8446,6743,6392,4543,2138,4467,4065
4557,2171,4526,6582,6472,9181,5575,2599,4285,3371
4839,2991,5409,8230,6067,6050,4652,2227,5113,3890
5228,2507,4403,7754,5517,8835,4972,2618,3676,3958
4526,2780,5361,7022,6363,6621,5229,2472,4650,4389
5054,2770,5058,6840,6238,6337,5284,2380,4800,4652
5585,2682,5240,9698,5937,6429,4077,2361,5291,2113
4457,2830,5151,7560,6553,6719,4910,2682,4866,3616
5765,2668,5023,7006,6076,6602,4804,2568,5823,3009
3942,2362,4742,7187,5832,5789,4227,2056,10290,2873
5149,2738,5463,6751,5922,6512,5338,2467,5395,3678
6925,2563,4506,6118,5774,7529,4890,2403,6669,2036
5904,2805,4755,6436,6034,6765,4990,2658,6129,2868
5047,2849,5395,7442,6445,6605,4987,2301,5018,3324
6114,2593,4967,6159,6073,6576,5153,2524,6183,3071
6075,2489,4387,6188,5883,7195,5641,2883,5740,3113
5276,3422,5060,7265,6068,6876,4550,2385,5537,2974
5544,2618,4994,6294,5979,6521,5362,2602,5731,3699
6686,2995,4454,7340,5535,6065,4285,2644,6968,2564
